Freq (hertz)	SPL (dB)	WPhase (deg)
 9718.02	   31.46	  105.53
 9858.00	   31.10	   83.36
10000.00	   30.72	   60.92
10144.05	   30.34	   38.21
10290.17	   29.97	   14.99
10438.39	   29.56	   -8.61
10588.75	   29.14	  -32.24
10741.28	   28.76	  -56.03
10896.00	   28.41	  -80.39
11052.95	   28.01	 -105.23
11212.16	   27.61	 -130.34
11373.67	   27.22	 -155.93
11537.50	   26.81	  177.98
11703.69	   26.38	  151.82
11872.28	   26.00	  125.48
12043.30	   25.63	   98.54
12216.77	   25.25	   71.11
12392.75	   24.87	   43.33
12571.26	   24.49	   14.95
12752.35	   24.09	  -13.77
12936.04	   23.70	  -42.53
13122.37	   23.36	  -71.80
13311.40	   23.01	 -101.67
13503.14	   22.65	 -131.93
13697.65	   22.30	 -162.80
13894.95	   21.92	  165.99
14095.11	   21.57	  134.70
14298.14	   21.25	  102.80
14504.10	   20.91	   70.34
14713.02	   20.58	   37.38
14924.96	   20.23	    3.80
15139.94	   19.86	  -29.90
15358.03	   19.53	  -64.01
15579.25	   19.18	  -98.82
15803.66	   18.82	 -134.13
16031.31	   18.45	 -170.15
16262.23	   18.04	  153.66
16496.48	   17.67	  117.02
16734.10	   17.29	   79.67
16975.15	   16.90	   41.70
17219.67	   16.48	    3.06
17467.71	   16.06	  -35.75
17719.33	   15.68	  -75.26
17974.56	   15.27	 -115.43
18233.48	   14.87	 -156.39
18496.12	   14.44	  162.28
18762.55	   14.05	  120.50
19032.82	   13.67	   77.95
19306.98	   13.32	   34.63
19585.09	   12.93	   -9.22
19867.20	   12.58	  -53.45
20000.00	   12.43	  -74.35
